strategy,complexity,workload,seed,read_avg_ms,read_p95_ms,throughput_qps,load_cv,staleness_pct,router_overhead_ms,avg_cpu_pct,total_queries,total_reads,total_writes,errors,duration_s
least_conn,complex,read_heavy,242,3515.6798679630024,17618.412599898875,14.822531168949014,0.7308007787717149,0.0,0.005834805388824583,10.599358974358974,9007,8590,417,0,607.6560000000754
least_conn,complex,read_heavy,342,3520.84508157939,16264.919299981557,14.79095268495404,0.7155068474630731,0.0,0.0059413289419343596,10.606349206349206,9059,8621,438,0,612.4689999999246
least_conn,complex,read_heavy,442,3517.1876397804,15387.678400031291,14.923205642534727,0.723444448353606,0.0,0.0054393678180190376,10.611650485436893,9043,8567,476,0,605.9689999999246
least_conn,complex,read_heavy,542,3500.583421243335,15709.062499925494,14.789531684075968,0.7174174692264974,0.0,0.00571025121485429,10.517628205128204,8965,8492,473,17,606.1720000000205
least_conn,medium,balanced,142,472.9360561698576,1284.01699999813,148.31431483443075,0.6445793321565828,0.0,0.003473984227679542,7.661016949152542,89058,62370,26688,0,600.4679999999935
least_conn,medium,balanced,242,482.0141646548532,1334.3015999998897,144.69251964963524,0.6398959755664094,0.0,0.003740281246115375,7.677966101694914,86854,60950,25904,0,600.265999999945
least_conn,medium,balanced,342,475.70404290905805,1311.4237000700086,147.00862094779515,0.6430024602368296,0.0,0.0039037456489347173,7.606442577030812,88366,62022,26344,0,601.094000000041
least_conn,medium,balanced,442,480.2507091234249,1349.0909000393003,145.87980869203577,0.6438160798738968,0.0,0.0038892181405893356,7.692090395480226,87692,61500,26192,0,601.125
least_conn,medium,balanced,542,482.67694390527606,1344.5597999962047,144.93643605913212,0.6450583145149411,0.0,0.003726603310265678,7.844632768361581,87091,61013,26078,0,600.890999999945
least_conn,medium,read_heavy,142,86.47418732156558,211.13900002092123,602.8738830916078,1.016693303730814,0.0,0.003154297192137706,7.848739495798319,361781,343805,17976,0,600.094000000041
